Date,Tech_ETF,Semiconductor_ETF
2020-07-17,77.42572784423828,102.73098754882812
2020-07-20,78.97221374511719,105.35626220703125
2020-07-21,78.57592010498047,104.2984390258789
2020-07-22,79.1510238647461,105.13509368896484
2020-07-23,77.84618377685547,102.40403747558594
2020-07-24,77.06327819824219,101.16352844238281
2020-07-27,80.17074584960938,102.75984954833984
2020-07-28,78.08782196044922,101.55780792236328
2020-07-29,80.05474853515625,103.02910614013672
2020-07-30,80.80867004394531,103.60609436035156
2020-07-31,80.3302230834961,106.19288635253906
2020-08-03,81.76071166992188,108.80850219726562
2020-08-04,82.9495849609375,109.0873794555664
2020-08-05,83.02205657958984,109.49124908447266
2020-08-06,82.87709045410156,111.02987670898438
2020-08-07,81.92503356933594,109.3758773803711
2020-08-10,81.98302459716797,109.06815338134766
2020-08-11,80.82317352294922,107.1064224243164
2020-08-12,83.36518859863281,109.53934478759766
2020-08-13,82.57262420654297,109.58741760253906
2020-08-14,82.48562622070312,109.510498046875
2020-08-17,83.68899536132812,110.24134063720703
2020-08-18,83.17189025878906,110.65483856201172
2020-08-19,82.66444396972656,110.52022552490234
2020-08-20,82.00235748291016,111.99151611328125
2020-08-21,82.59679412841797,113.41473388671875
2020-08-24,83.33135986328125,114.39559173583984
2020-08-25,84.27375793457031,114.9725570678711
2020-08-26,84.74254608154297,117.30931854248047
2020-08-27,83.55367279052734,117.40548706054688
2020-08-28,84.88268280029297,118.43444061279297
2020-08-31,84.752197265625,118.80945587158203
2020-09-01,86.41465759277344,121.07891082763672
2020-09-02,88.70540618896484,122.15594482421875
2020-09-03,83.99346160888672,115.19373321533203
2020-09-04,82.83841705322266,113.58782958984375
2020-09-08,79.16551971435547,108.45269775390625
2020-09-09,81.43209075927734,111.99151611328125
2020-09-10,80.40753936767578,109.46243286132812
2020-09-11,80.25289916992188,108.62580871582031
2020-09-14,82.06034851074219,110.90486907958984
2020-09-15,83.78564453125,112.0011215209961
2020-09-16,82.75627136230469,110.27017974853516
2020-09-17,82.56779479980469,109.35663604736328
2020-09-18,81.32093811035156,107.47183227539062
2020-09-21,81.35960388183594,108.3652572631836
2020-09-22,82.0265121459961,110.08071899414062
2020-09-23,80.15141296386719,106.64974975585938
2020-09-24,80.85216522216797,107.24727630615234
2020-09-25,81.78971862792969,109.8108901977539
2020-09-28,83.86779022216797,111.9118881225586
2020-09-29,84.31242370605469,111.53601837158203
2020-09-30,84.18677520751953,112.47087097167969
2020-10-01,86.26485443115234,113.65628814697266
2020-10-02,83.67931365966797,110.77464294433594
2020-10-05,86.5306625366211,113.20332336425781
2020-10-06,85.77191162109375,111.44929504394531
2020-10-07,87.60836791992188,113.49244689941406
2020-10-08,88.68123626708984,114.08036041259766
2020-10-09,90.20355987548828,115.82474517822266
2020-10-12,91.79354095458984,118.98587799072266
2020-10-13,91.51807403564453,118.22451782226562
2020-10-14,91.03479766845703,117.59806823730469
2020-10-15,90.68199920654297,117.06800079345703
2020-10-16,90.11656951904297,116.73068237304688
2020-10-19,89.67195892333984,114.5911636352539
2020-10-20,89.74444580078125,114.98628234863281
2020-10-21,89.16934967041016,114.81281280517578
2020-10-22,89.1355209350586,114.27311706542969
2020-10-23,88.92288208007812,114.1478042602539
2020-10-26,87.0187759399414,111.67095184326172
2020-10-27,86.71913146972656,112.22992706298828
2020-10-28,83.92096710205078,107.46895599365234
2020-10-29,85.99422454833984,109.26154327392578
2020-10-30,84.54922485351562,106.8425064086914
2020-11-02,85.20646667480469,107.11238861083984
2020-11-03,86.9801025390625,109.00133514404297
2020-11-04,90.16973114013672,113.24187469482422
2020-11-05,93.75081634521484,116.75961303710938
2020-11-06,95.2054672241211,117.17401885986328
2020-11-09,94.16642761230469,116.32591247558594
2020-11-10,91.25227355957031,114.15746307373047
2020-11-11,94.46122741699219,116.8656234741211
2020-11-12,93.44152069091797,115.82474517822266
2020-11-13,94.81884002685547,116.80779266357422
2020-11-16,97.48653411865234,117.93539428710938
2020-11-17,96.36534118652344,117.280029296875
2020-11-18,95.88689422607422,116.02713775634766
2020-11-19,97.13858032226562,116.96199035644531
2020-11-20,96.6456298828125,115.75730895996094
2020-11-23,98.1341323852539,115.72837829589844
2020-11-24,98.44342803955078,117.33786010742188
2020-11-25,98.4385986328125,117.58844757080078
2020-11-27,99.75794219970703,118.21488952636719
2020-11-30,100.81631469726562,119.00517272949219
2020-12-01,102.6479263305664,120.52791595458984
2020-12-02,103.0587158203125,120.34479522705078
2020-12-03,103.02005767822266,120.26769256591797
2020-12-04,106.0260238647461,121.47239685058594
2020-12-07,106.630126953125,121.81935119628906
2020-12-08,106.77027893066406,122.2144775390625
2020-12-09,103.46466827392578,119.87254333496094
2020-12-10,103.5419921875,120.0460205078125
2020-12-11,102.70108795166016,119.79545593261719
2020-12-14,103.74979400634766,120.22914123535156
2020-12-15,105.37844848632812,122.23377990722656
2020-12-16,105.33495330810547,123.06258392333984
2020-12-17,105.31077575683594,124.03600311279297
2020-12-18,104.94832611083984,123.60230255126953
2020-12-21,104.41886138916016,123.7259521484375
2020-12-22,104.23394012451172,124.79822540283203
2020-12-23,103.45530700683594,123.8515396118164
2020-12-24,104.56484985351562,124.67261505126953
2020-12-28,104.35559844970703,126.0830078125
2020-12-29,104.09281158447266,125.48406219482422
2020-12-30,106.01505279541016,125.41645050048828
2020-12-31,106.29243469238281,125.60002136230469
2021-01-04,106.50655364990234,123.55207824707031
2021-01-05,108.37040710449219,124.3538589477539
2021-01-06,108.03947448730469,122.20932006835938
2021-01-07,112.49713134765625,125.5033950805664
2021-01-08,112.09320831298828,126.31486511230469
2021-01-11,113.77212524414062,125.27155303955078
2021-01-12,114.30257415771484,124.67261505126953
2021-01-13,113.68453216552734,125.4647445678711
2021-01-14,116.51192474365234,124.363525390625
2021-01-15,114.24417114257812,123.08839416503906
2021-01-19,118.16650390625,124.69194793701172
2021-01-20,117.67499542236328,127.16490936279297
2021-01-21,119.49504089355469,128.80711364746094
2021-01-22,117.24674987792969,128.31446838378906
2021-01-25,117.70906066894531,129.38670349121094
2021-01-26,115.6749038696289,129.47369384765625
2021-01-27,110.02497863769531,127.0296859741211
2021-01-28,112.3268051147461,127.55134582519531
2021-01-29,110.27803039550781,124.54703521728516
2021-02-01,114.59941864013672,127.66726684570312
2021-02-02,116.16641235351562,129.39642333984375
2021-02-03,113.98139190673828,128.95201110839844
2021-02-04,115.3001937866211,131.00962829589844
2021-02-05,114.4631576538086,130.7198486328125
2021-02-08,118.28816986083984,132.091552734375
2021-02-09,117.93778991699219,131.93699645996094
2021-02-10,118.239501953125,131.7438201904297
2021-02-11,122.6192855834961,133.1927947998047
2021-02-12,123.87968444824219,133.878662109375
2021-02-16,124.63885498046875,133.44400024414062
2021-02-17,122.2251205444336,132.26539611816406
2021-02-18,120.92578125,131.6182098388672
2021-02-19,123.5390396118164,131.42503356933594
2021-02-22,119.02300262451172,128.52699279785156
2021-02-23,117.87938690185547,128.16958618164062
2021-02-24,121.67033386230469,130.1305389404297
2021-02-25,114.88654327392578,125.58068084716797
2021-02-26,117.25648498535156,126.24723052978516
2021-03-01,120.7846450805664,130.3140869140625
2021-03-02,117.07156372070312,128.24685668945312
2021-03-03,113.3828125,125.02040100097656
2021-03-04,107.87889099121094,122.25762176513672
2021-03-05,111.33891296386719,124.56639099121094
2021-03-08,105.2218246459961,121.55244445800781
2021-03-09,111.45570373535156,125.68692016601562
2021-03-10,109.19282531738281,125.18461608886719
2021-03-11,113.7818603515625,127.86045837402344
2021-03-12,112.3608627319336,126.94275665283203
2021-03-15,114.78433990478516,128.29513549804688
2021-03-16,116.03987884521484,129.26116943359375
2021-03-17,117.12995910644531,129.15489196777344
2021-03-18,112.438720703125,125.57102966308594
2021-03-19,113.71859741210938,125.19428253173828
2021-03-22,116.42919921875,127.65596771240234
2021-03-23,113.51420593261719,126.86225128173828
2021-03-24,111.56763458251953,125.32302856445312
2021-03-25,111.97642517089844,125.2455825805664
2021-03-26,117.59226989746094,128.43043518066406
2021-03-29,115.70897674560547,127.76249694824219
2021-03-30,115.21259307861328,126.55242919921875
2021-03-31,118.52175903320312,128.5659637451172
2021-04-01,123.0913314819336,131.15065002441406
2021-04-05,125.14009857177734,133.86117553710938
2021-04-06,123.42711639404297,133.29002380371094
2021-04-07,123.14486694335938,133.99668884277344
2021-04-08,124.91136169433594,135.93276977539062
2021-04-09,124.619384765625,137.2396240234375
2021-04-12,123.17406463623047,136.5813751220703
2021-04-13,122.93074035644531,137.86886596679688
2021-04-14,121.75306701660156,136.40713500976562
2021-04-15,123.31517791748047,138.7498016357422
2021-04-16,122.83341217041016,138.7207489013672
2021-04-19,119.79190063476562,137.5687713623047
2021-04-20,118.11298370361328,136.3490753173828
2021-04-21,121.22749328613281,137.7236785888672
2021-04-22,118.54608917236328,136.1070556640625
2021-04-23,121.27128601074219,138.1399688720703
2021-04-26,123.34439086914062,138.84661865234375
2021-04-27,122.62415313720703,138.50779724121094
2021-04-28,120.6629867553711,137.22032165527344
2021-04-29,121.77739715576172,137.1041259765625
2021-04-30,118.25410461425781,135.23577880859375
2021-05-03,116.88176727294922,134.8582763671875
2021-05-04,115.43158721923828,132.43812561035156
2021-05-05,115.94255065917969,132.11871337890625
2021-05-06,116.89637756347656,133.44493103027344
2021-05-07,118.54608917236328,134.58721923828125
2021-05-10,113.29035949707031,131.1893768310547
2021-05-11,113.50933837890625,130.79246520996094
2021-05-12,108.82784271240234,127.11390686035156
2021-05-13,110.06391143798828,128.7982940673828
2021-05-14,113.55313873291016,131.6346893310547
2021-05-17,112.28787994384766,130.66664123535156
2021-05-18,111.66983032226562,129.62115478515625
2021-05-19,113.6699447631836,130.0761260986328
2021-05-20,116.49246215820312,132.5640106201172
2021-05-21,115.90362548828125,131.83798217773438
2021-05-24,118.44876098632812,134.18063354492188
2021-05-25,119.2273941040039,134.21934509277344
2021-05-26,119.34905242919922,134.20965576171875
2021-05-27,119.92329406738281,133.50303649902344
2021-05-28,121.26641845703125,133.97732543945312
2021-06-01,121.08636474609375,133.31907653808594
2021-06-02,121.79685974121094,134.2387237548828
2021-06-03,119.71402740478516,132.9899444580078
2021-06-04,122.38082885742188,135.54559326171875
2021-06-07,121.75792694091797,135.51658630371094
2021-06-08,120.75544738769531,135.52621459960938
2021-06-09,120.3807373046875,135.6230010986328
2021-06-10,121.95259094238281,136.6201171875
2021-06-11,122.38082885742188,137.43328857421875
2021-06-14,124.0354232788086,138.82723999023438
